FullTime,DateHour,hour,Code,Value,X,Y
2019-12-23T16:40:07.341284,,,c54,82,58,82
2019-12-23T16:40:07.360778,,,c53,56,56,85
2019-12-23T16:40:07.360778,,,c54,85,56,85
2019-12-23T16:40:07.379862,,,c53,55,55,87
2019-12-23T16:40:07.379862,,,c54,87,55,87
2019-12-23T16:40:07.398853,,,c53,54,54,90
2019-12-23T16:40:07.398853,,,c54,90,54,90
2019-12-23T16:40:07.418125,,,c53,53,53,93
2019-12-23T16:40:07.418125,,,c54,93,53,93
2019-12-23T16:40:07.437200,,,c53,52,52,96
2019-12-23T16:40:07.437200,,,c54,96,52,96
2019-12-23T16:40:07.455752,,,c54,99,52,99
2019-12-23T16:40:07.475213,,,c53,51,51,102
2019-12-23T16:40:07.475213,,,c54,102,51,102
2019-12-23T16:40:07.494358,,,c53,50,50,105
2019-12-23T16:40:07.494358,,,c54,105,50,105
2019-12-23T16:40:07.513193,,,c53,49,49,108
2019-12-23T16:40:07.513193,,,c54,108,49,108
2019-12-23T16:40:07.531930,,,c54,111,49,111
2019-12-23T16:40:07.551049,,,c54,114,49,114
2019-12-23T16:40:07.570132,,,c54,117,49,117
2019-12-23T16:40:07.588973,,,c54,120,49,120
2019-12-23T16:40:07.607779,,,c54,123,49,123
2019-12-23T16:40:07.627503,,,c54,125,49,125
2019-12-23T16:40:07.646664,,,c54,128,49,128
2019-12-23T16:40:07.665712,,,c54,130,49,130
2019-12-23T16:40:07.684785,,,c54,133,49,133
2019-12-23T16:40:07.703675,,,c54,135,49,135
2019-12-23T16:40:07.722634,,,c54,138,49,138
2019-12-23T16:40:07.741673,,,c54,141,49,141
2019-12-23T16:40:07.760169,,,c54,144,49,144
2019-12-23T16:40:07.779391,,,c54,146,49,146
2019-12-23T16:40:07.798262,,,c53,50,50,149
2019-12-23T16:40:07.798262,,,c54,149,50,149
2019-12-23T16:40:07.818105,,,c53,51,51,152
2019-12-23T16:40:07.818105,,,c54,152,51,152
2019-12-23T16:40:07.836137,,,c53,52,52,155
2019-12-23T16:40:07.836137,,,c54,155,52,155
2019-12-23T16:40:07.855150,,,c53,54,54,158
2019-12-23T16:40:07.855150,,,c54,158,54,158
2019-12-23T16:40:07.875138,,,c53,55,55,161
2019-12-23T16:40:07.875138,,,c54,161,55,161
2019-12-23T16:40:07.894208,,,c53,57,57,164
2019-12-23T16:40:07.894208,,,c54,164,57,164
2019-12-23T16:40:07.913190,,,c53,59,59,166
2019-12-23T16:40:07.913190,,,c54,166,59,166
2019-12-23T16:40:07.932230,,,c53,60,60,169
2019-12-23T16:40:07.932230,,,c54,169,60,169
2019-12-23T16:40:07.951214,,,c53,61,61,171
2019-12-23T16:40:07.951214,,,c54,171,61,171
2019-12-23T16:40:07.969997,,,c53,63,63,173
2019-12-23T16:40:07.969997,,,c54,173,63,173
2019-12-23T16:40:07.988950,,,c53,64,64,175
2019-12-23T16:40:07.988950,,,c54,175,64,175
2019-12-23T16:40:08.008422,,,c53,66,66,177
2019-12-23T16:40:08.008422,,,c54,177,66,177
2019-12-23T16:40:08.027519,,,c53,68,68,178
2019-12-23T16:40:08.027519,,,c54,178,68,178
2019-12-23T16:40:08.046505,,,c53,71,71,180
2019-12-23T16:40:08.046505,,,c54,180,71,180
2019-12-23T16:40:08.065634,,,c53,73,73,182
2019-12-23T16:40:08.065634,,,c54,182,73,182
2019-12-23T16:40:08.083952,,,c53,75,75,183
2019-12-23T16:40:08.083952,,,c54,183,75,183
2019-12-23T16:40:08.103393,,,c53,78,78,185
2019-12-23T16:40:08.103393,,,c54,185,78,185
